symbol,timestamp,sentiment_score,sentiment_confidence,sentiment_source_count,sentiment_freshness,sentiment_stale_flag,sentiment_missing,sentiment_dispersion,sentiment_novelty
TATASTEEL.NS,2026-02-05 09:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-06 03:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-06 04:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-06 05:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-06 06:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-06 07:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-06 08:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-06 09:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-09 03:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-09 04:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-09 05:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-09 06:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-09 07:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-09 08:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-09 09:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-10 03:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-10 04:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-10 05:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-10 06:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-10 07:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-10 08:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
